titre,ingredients,instructions,tempspreparation,photo
Burgers de Nuggets de Poulet,"400 g de galettes de nuggets de poulet, 4 petits pains à hamburger, 4 tranches de fromage, 120 g de laitue, 60 g de mayonnaise, 60 g de ketchup","1. Cuisez les galettes de nuggets de poulet selon les instructions. 2. Toastez les petits pains à hamburger. 3. Placez les galettes de poulet cuites sur les petits pains. 4. Ajoutez une tranche de fromage, de la laitue, de la mayonnaise et du ketchup. 5. Servez.",30,https://i.ibb.co/GRhjN5p/Chicken-Burger-patty-large-1024x647.jpg
Sandwiches de Poulet au Bacon et Jack,"400 g de poitrines de poulet sans peau, 200 g de bacon, 4 tranches de fromage Jack, 120 g de mayonnaise, 15 g de moutarde de Dijon","1. Cuisez les poitrines de poulet jusqu'à cuisson complète. 2. Cuisez le bacon jusqu'à ce qu'il soit croustillant. 3. Placez une tranche de fromage Jack sur chaque poitrine de poulet. 4. Mélangez la mayonnaise et la moutarde de Dijon, étalez sur les petits pains. 5. Assemblez les sandwichs avec du poulet, du bacon et du fromage. 6. Servez.",45,https://i.ibb.co/3rdhTvS/702178.jpg
Courgettes Parmesan au Four,"4 courgettes, 60 g de Parmesan râpé, 30 ml d'huile d'olive, 1 cuillère à café de poudre d'ail, Sel et poivre au goût","1. Préchauffez le four à 200°C. 2. Coupez les courgettes en tranches et placez-les dans un bol. 3. Mélangez les courgettes avec l'huile d'olive, le Parmesan, la poudre d'ail, le sel et le poivre. 4. Disposez les courgettes sur une plaque de cuisson. 5. Faites cuire pendant 20 à 25 minutes ou jusqu'à ce qu'elles soient dorées. 6. Servez.",25,https://i.ibb.co/3NrRqzf/Screen-Shot-2018-07-22-at-2-47-17-PM.png
Boeuf et Nouilles,"450 g de faux-filet de bœuf, tranché finement, 225 g de nouilles aux œufs, 240 ml de bouillon de bœuf, 120 g de crème aigre, 30 g de beurre","1. Cuisez le bœuf tranché jusqu'à ce qu'il soit doré. 2. Cuisez les nouilles aux œufs selon les instructions du paquet. 3. Dans une casserole, chauffez le bouillon de bœuf, la crème aigre et le beurre. 4. Combinez le bœuf, les nouilles et la sauce. 5. Servez.",35,https://i.ibb.co/0jz5c7C/slow-cooker-beef-tips-8-600.jpg
Burritos au Boeuf,"450 g de bœuf haché, 200 g de riz cuit, 400 g de haricots noirs égouttés, 120 g de fromage cheddar râpé, 4 grandes tortillas","1. Cuisez le bœuf haché jusqu'à ce qu'il soit doré. 2. Mélangez le riz cuit, les haricots noirs et le fromage cheddar avec le bœuf. 3. Réchauffez les tortillas et remplissez-les avec le mélange de bœuf. 4. Roulez les burritos. 5. Servez.",30,https://i.ibb.co/q0NL83H/exps24004-FM153592-A03-20-4b-696x696.jpg
Tostada Petit-déjeuner,"4 tortillas de maïs, 4 œufs, 240 ml de haricots noirs, 240 ml de salsa, 60 g de fromage Monterey Jack râpé","1. Cuisez les tortillas de maïs jusqu'à ce qu'elles soient croustillantes. 2. Cuisez les œufs selon vos préférences. 3. Chauffez les haricots noirs et la salsa. 4. Garnissez chaque tortilla avec des œufs, des haricots noirs, de la salsa et du fromage Monterey Jack râpé. 5. Servez.",20,https://i.ibb.co/ry5YC5t/1407925012164.jpg
Tourte aux Burritos,"450 g de bœuf haché, 1 sachet d'assaisonnement pour tacos, 400 g de haricots frits, 240 ml de salsa, 4 grandes tortillas de farine, 120 g de mélange de fromages mexicains râpés","1. Cuisez le bœuf haché avec l'assaisonnement pour tacos. 2. Superposez les tortillas avec des haricots frits, du bœuf, de la salsa et du fromage entre elles. 3. Répétez les couches. 4. Cuisez au four jusqu'à ce que le fromage soit fondu. 5. Servez.",40,https://i.ibb.co/2g8Pk0Y/4550030.jpg
Tots de Carottes,"480 g de carottes râpées, 120 g de chapelure, 60 g de Parmesan râpé, 2 œufs, 30 g de persil frais haché","1. Préchauffez le four à 220°C. 2. Mélangez les carottes râpées, la chapelure, le Parmesan, les œufs et le persil. 3. Façonnez le mélange en petites bouchées. 4. Faites cuire jusqu'à ce qu'elles soient dorées. 5. Servez.",30,https://i.ibb.co/hBHX5p9/Nan-Pizza.jpg
Tostada de Brocoli au Fromage,"4 tortillas de farine, 400 g de bouquets de brocoli cuits à la vapeur, 120 g de fromage cheddar râpé, 120 ml de crème aigre, 60 ml d'oignons verts hachés","1. Cuisez les tortillas de farine jusqu'à ce qu'elles soient croustillantes. 2. Garnissez chaque tortilla de bouquets de brocoli cuits à la vapeur, de fromage cheddar râpé, de crème aigre et d'oignons verts hachés. 3. Servez.",25,https://i.ibb.co/pnxzdjC/IMG-2319.jpg
Quesadillas au Boeuf et au Fromage,"450 g de bœuf haché, 1 sachet d'assaisonnement pour tacos, 8 grandes tortillas de farine, 200 g de fromage Monterey Jack râpé, 240 ml de salsa","1. Cuisez le bœuf haché avec l'assaisonnement pour tacos. 2. Placez une tortilla sur une plaque chauffante. 3. Étalez le bœuf, le fromage et la salsa sur la tortilla. 4. Couvrez avec une autre tortilla. 5. Cuisez jusqu'à ce que le fromage soit fondu. 6. Répétez pour chaque quesadilla. 7. Servez.",30,https://i.ibb.co/3SwNR8t/sd-aspect-1484241321-beef-and-avocado-quesadillasl1.jpg
